content_key,show_title,category,first_week,last_week,first_cumulative,max_cumulative,right_censored,long_hit,first_rank,first_week_hours,log_first_week_hours,initial_country_reach
A Tale Dark & Grimm: Season 1,A Tale Dark & Grimm,TV (English),2021-10-17,2021-10-17,1,1,False,0,7,18730000,16.745637127810554,19.0
AlRawabi School for Girls: Limited Series,AlRawabi School for Girls,TV (Non-English),2021-08-15,2021-08-29,1,3,False,0,6,11620000,16.268238395446556,27.0
Alice in Borderland: Season 1,Alice in Borderland,TV (Non-English),2021-09-26,2021-10-24,1,5,False,1,8,10890000,16.203355586736503,13.0
All American: Season 3,All American,TV (English),2021-08-01,2021-08-29,1,5,False,1,2,43970000,17.59901816389977,1.0
Another Life: Season 2,Another Life,TV (English),2021-10-24,2021-10-24,1,1,False,0,9,15760000,16.57298570584578,4.0
Aranyak: Season 1,Aranyak,TV (Non-English),2021-12-19,2021-12-19,1,1,False,0,8,10360000,16.153462891320704,9.0
Arcane: Season 1,Arcane,TV (English),2021-11-14,2021-12-19,1,6,False,1,2,34170000,17.34685865335691,4.0
Atypical: Season 4,Atypical,TV (English),2021-07-11,2021-07-25,1,3,False,0,6,20620000,16.84177208504969,34.0
Bake Squad: Season 1,Bake Squad,TV (English),2021-08-22,2021-08-22,1,1,False,0,6,13220000,16.397241468030778,1.0
Baki Hanma: Season 1,Baki Hanma,TV (Non-English),2021-10-03,2021-10-10,1,2,False,0,6,20090000,16.815732786567125,26.0
Big Mouth: Season 5,Big Mouth,TV (English),2021-11-07,2021-11-21,1,3,False,0,9,19570000,16.78950839047088,13.0
Biohackers: Season 2,Biohackers,TV (Non-English),2021-07-18,2021-07-18,1,1,False,0,10,7500000,15.830413711839864,2.0
Blood & Water: Season 2,Blood & Water,TV (English),2021-10-03,2021-10-03,1,1,False,0,8,15870000,16.57994115551456,11.0
Brand New Cherry Flavor: Limited Series,Brand New Cherry Flavor,TV (English),2021-08-22,2021-08-22,1,1,False,0,8,11140000,16.226052882230015,9.0
Car Masters: Rust to Riches: Season 3,Car Masters: Rust to Riches,TV (English),2021-08-08,2021-08-08,1,1,False,0,10,13930000,16.449555417543493,12.0
Carrossel,Carrossel,TV (Non-English),2021-07-11,2021-09-19,1,10,False,1,9,9790000,16.096872116651735,2.0
Chiquititas,Chiquititas,TV (Non-English),2021-08-01,2021-08-01,1,1,False,0,9,7020000,15.764273918452126,1.0
Christmas Flow: Season 1,Christmas Flow,TV (Non-English),2021-11-21,2021-11-21,1,1,False,0,7,9720000,16.089696279317273,14.0
Clickbait: Limited Series,Clickbait,TV (English),2021-08-29,2021-10-03,1,6,False,1,1,51280000,17.75281139007747,76.0
